Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
03/05/2021 02:00,8721.22624,1110.106516,3075.812683,588.954964,8959.935764,2291.226862,4610.058491,936.613198,30293.934718
03/05/2021 03:00,8644.767682,1081.382448,3074.849213,589.610303,8798.986247,2215.89041,4517.712038,936.771994,29859.970335
03/05/2021 04:00,8680.736087,1094.065937,3080.580528,597.228183,8787.703539,2189.560269,4484.323766,946.925477,29861.123785
03/05/2021 05:00,8870.879348,1188.566285,3090.434448,604.397454,9092.280846,2207.832504,4588.415631,959.930646,30602.737161
03/05/2021 06:00,9351.744558,1286.263736,3142.261816,649.247251,9844.065029,2333.488491,4879.049044,1010.058483,32496.178409
03/05/2021 07:00,10045.890813,1447.619353,3224.827531,718.709064,10994.474831,2564.482584,5403.328507,1114.579027,35513.91171
03/05/2021 08:00,10327.14869,1505.689266,3239.3604,743.121064,11586.413576,2674.246316,5694.664692,1157.097578,36927.741581
03/05/2021 09:00,10537.220155,1539.996719,3241.885595,742.70282,11653.742745,2740.841829,5760.602394,1139.088446,37356.080703
03/05/2021 10:00,10686.647861,1556.865821,3248.248947,736.66439,11621.610339,2842.206126,5749.657739,1128.698088,37570.59931
03/05/2021 11:00,10735.147072,1563.035393,3233.040624,726.940643,11558.960507,2921.86032,5750.256811,1113.186314,37602.427684
03/05/2021 12:00,10775.682517,1532.687589,3233.776095,722.38993,11474.426638,3005.689594,5807.753704,1085.098805,37637.504872
03/05/2021 13:00,10734.786484,1513.500342,3233.382736,718.960753,11402.486371,3094.587349,5890.843539,1062.308451,37650.856024
03/05/2021 14:00,10731.600659,1504.37057,3224.067506,723.549692,11437.175734,3187.469166,5984.405994,1065.246158,37857.885479
03/05/2021 15:00,10697.801367,1485.386507,3231.076829,723.219362,11361.363121,3324.232045,6082.285337,1073.013305,37978.377872
03/05/2021 16:00,10761.392134,1473.514464,3244.527194,727.01829,11313.8464,3430.346468,6127.710749,1073.045556,38151.401257
03/05/2021 17:00,10761.573981,1481.151488,3255.129566,729.43127,11375.065995,3457.361993,6224.857459,1084.205961,38368.777712
03/05/2021 18:00,10640.037324,1485.669585,3246.904889,727.700056,11508.352726,3364.669823,6185.805,1086.808541,38245.947945
03/05/2021 19:00,10620.721708,1503.366818,3260.503453,746.250129,11713.5769,3238.286532,6178.534092,1106.771888,38368.011521
03/05/2021 20:00,10570.975715,1518.729566,3291.181626,751.863457,11646.237125,3185.156486,6200.258536,1138.822703,38303.225215
03/05/2021 21:00,10299.107867,1463.934899,3292.150988,743.608688,11424.351447,3032.795654,5967.965221,1124.669372,37348.584136
03/05/2021 22:00,9972.136888,1448.830858,3275.968241,720.275064,11045.859333,2891.94992,5702.581006,1103.234334,36160.835645
03/05/2021 23:00,9569.565643,1395.74403,3262.795962,697.353861,10541.772311,2722.47686,5397.749449,1077.22923,34664.687346
03/05/2021 24:00,9200.502027,1320.770486,3247.566393,678.818734,10080.584196,2557.746211,5055.034787,1047.085847,33188.108681
03/06/2021 01:00,8724.275464,1308.812039,3215.154882,677.973874,9741.235836,2399.861319,4806.090465,1026.098266,31899.502145
03/06/2021 02:00,8477.495331,1295.687864,3208.521336,682.457818,9493.430692,2270.798339,4600.536926,1014.808804,31043.737109
